GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
1500000US110010037002,110010037002,"Block Group 2, Census Tract 37, District of Columbia, District of Columbia",3228,782,1823,9,96,6,378,134
1500000US110010037003,110010037003,"Block Group 3, Census Tract 37, District of Columbia, District of Columbia",1299,555,356,11,64,1,265,47
1500000US110010038001,110010038001,"Block Group 1, Census Tract 38, District of Columbia, District of Columbia",1991,1299,274,13,136,0,180,89
1500000US110010038002,110010038002,"Block Group 2, Census Tract 38, District of Columbia, District of Columbia",1495,1077,191,3,94,1,70,59
1500000US110010038003,110010038003,"Block Group 3, Census Tract 38, District of Columbia, District of Columbia",1128,508,360,6,31,0,176,47
1500000US110010039001,110010039001,"Block Group 1, Census Tract 39, District of Columbia, District of Columbia",1350,952,192,3,85,2,68,48
1500000US110010039002,110010039002,"Block Group 2, Census Tract 39, District of Columbia, District of Columbia",1045,833,82,6,52,0,33,39
1500000US110010039003,110010039003,"Block Group 3, Census Tract 39, District of Columbia, District of Columbia",1148,789,192,5,54,1,60,47
1500000US110010039004,110010039004,"Block Group 4, Census Tract 39, District of Columbia, District of Columbia",931,711,97,7,34,1,45,36
1500000US110010040011,110010040011,"Block Group 1, Census Tract 40.01, District of Columbia, District of Columbia",1548,1303,61,2,71,1,37,73
1500000US110010040012,110010040012,"Block Group 2, Census Tract 40.01, District of Columbia, District of Columbia",646,573,26,0,23,0,9,15
1500000US110010040013,110010040013,"Block Group 3, Census Tract 40.01, District of Columbia, District of Columbia",1551,1361,52,3,68,7,26,34
1500000US110010040021,110010040021,"Block Group 1, Census Tract 40.02, District of Columbia, District of Columbia",680,545,51,1,27,1,31,24
1500000US110010040022,110010040022,"Block Group 2, Census Tract 40.02, District of Columbia, District of Columbia",1544,1241,141,2,95,0,23,42
1500000US110010040023,110010040023,"Block Group 3, Census Tract 40.02, District of Columbia, District of Columbia",573,446,34,1,59,0,22,11
1500000US110010041001,110010041001,"Block Group 1, Census Tract 41, District of Columbia, District of Columbia",1229,1027,66,0,77,0,31,28
1500000US110010041002,110010041002,"Block Group 2, Census Tract 41, District of Columbia, District of Columbia",671,573,24,6,44,2,8,14
1500000US110010041003,110010041003,"Block Group 3, Census Tract 41, District of Columbia, District of Columbia",808,661,25,3,60,1,38,20
1500000US110010042011,110010042011,"Block Group 1, Census Tract 42.01, District of Columbia, District of Columbia",1434,1120,139,2,100,0,38,35
1500000US110010042012,110010042012,"Block Group 2, Census Tract 42.01, District of Columbia, District of Columbia",1908,1601,101,3,115,0,31,57
1500000US110010042021,110010042021,"Block Group 1, Census Tract 42.02, District of Columbia, District of Columbia",1357,1136,28,5,119,3,23,43
1500000US110010042022,110010042022,"Block Group 2, Census Tract 42.02, District of Columbia, District of Columbia",1414,1145,101,5,97,0,26,40
1500000US110010043001,110010043001,"Block Group 1, Census Tract 43, District of Columbia, District of Columbia",2062,1123,628,14,99,2,136,60
1500000US110010043002,110010043002,"Block Group 2, Census Tract 43, District of Columbia, District of Columbia",1193,726,273,4,58,0,101,31
1500000US110010044001,110010044001,"Block Group 1, Census Tract 44, District of Columbia, District of Columbia",2769,1987,431,9,197,0,69,76
1500000US110010044002,110010044002,"Block Group 2, Census Tract 44, District of Columbia, District of Columbia",1803,1002,585,15,63,0,89,49
1500000US110010046001,110010046001,"Block Group 1, Census Tract 46, District of Columbia, District of Columbia",1177,290,782,2,39,0,27,37
1500000US110010046002,110010046002,"Block Group 2, Census Tract 46, District of Columbia, District of Columbia",1851,526,1182,1,58,0,22,62
1500000US110010047011,110010047011,"Block Group 1, Census Tract 47.01, District of Columbia, District of Columbia",1111,9,1057,4,27,0,4,10
1500000US110010047012,110010047012,"Block Group 2, Census Tract 47.01, District of Columbia, District of Columbia",2875,586,1697,15,503,1,16,57
1500000US110010047021,110010047021,"Block Group 1, Census Tract 47.02, District of Columbia, District of Columbia",1802,703,853,0,158,1,27,60
1500000US110010048011,110010048011,"Block Group 1, Census Tract 48.01, District of Columbia, District of Columbia",2143,847,961,9,123,5,100,98
1500000US110010048021,110010048021,"Block Group 1, Census Tract 48.02, District of Columbia, District of Columbia",1212,508,546,6,81,1,39,31
1500000US110010048022,110010048022,"Block Group 2, Census Tract 48.02, District of Columbia, District of Columbia",1710,358,918,10,288,0,90,46
1500000US110010049011,110010049011,"Block Group 1, Census Tract 49.01, District of Columbia, District of Columbia",1184,307,790,6,15,1,45,20
1500000US110010049012,110010049012,"Block Group 2, Census Tract 49.01, District of Columbia, District of Columbia",903,486,285,8,79,0,14,31
1500000US110010049021,110010049021,"Block Group 1, Census Tract 49.02, District of Columbia, District of Columbia",816,232,366,4,17,0,178,19
1500000US110010049022,110010049022,"Block Group 2, Census Tract 49.02, District of Columbia, District of Columbia",1874,1098,446,7,149,6,112,56
1500000US110010050011,110010050011,"Block Group 1, Census Tract 50.01, District of Columbia, District of Columbia",784,615,101,1,33,0,15,19
1500000US110010050012,110010050012,"Block Group 2, Census Tract 50.01, District of Columbia, District of Columbia",1171,644,383,2,59,0,40,43
1500000US110010050021,110010050021,"Block Group 1, Census Tract 50.02, District of Columbia, District of Columbia",1820,693,563,26,73,1,409,55
1500000US110010050022,110010050022,"Block Group 2, Census Tract 50.02, District of Columbia, District of Columbia",1921,1369,274,4,113,4,66,91
1500000US110010050023,110010050023,"Block Group 3, Census Tract 50.02, District of Columbia, District of Columbia",879,554,122,3,36,0,138,26
